Source name,Name,Description of contents,Website Category,Date posted on Mathematica's website,WHO,CDC,ECDC,NHC,DXY,1point3acres,Worldometers.info,BNO,State Health Depts,BRFSS,U.S. Census,JHU CSSE,Public Coronavirus Twitter Dataset,Kaiser Family Foundation,ESRI,Healthmap,Other,NAHDO?
JHU CSSE,,"This <a href='https://coronavirus.jhu.edu/map.html'>dashboard</a> pulls together multiple data sources to display confirmed cases, deaths, and recoveries from COVID-19 globally. In the U.S., cases are documented at the county level. In China, data are at the province level. In Canada and Australia, data are at the city level. The remaining data are at the country level. Related links include a�<a href='https://github.com/CSSEGISandData/COVID-19'>GitHub repository</a>�with all of the data sources used, a <a href='https://www.arcgis.com/home/item.html?id=bbb2e4f589ba40d692fab712ae37b9ac'>GIS feature layer</a>�with up-to-date information on COVID-19 cases, and <a href='https://coronavirus.jhu.edu/'>other resources</a>�(such as an interactive case map visualization and guidelines on hygiene meant to help the public and policymakers on how to respond to the virus).",Case counts and testing  rates,30-Mar,1,1,1,1,1,1,1,1,1,,,,,,1,,Local media reports; full list on GitHub repo,1
Tableau COVID-19 Data Hub,COVID-19 Data Hub,"This <a href='https://www.tableau.com/covid-19-coronavirus-data-resources?utm_campaign=2017049_EGCore_CORPR_USCA_en-US_2020-03-18-Cust-COVID-Company-Statement&utm_medium=Email&utm_source=Eloqua&domain=mathematica-mpr.com&eid=CTBLS000020242047&elqTrackId=addddbbc1f794b3aa139952fca21540b&elq=34f6b4fec48e41f4bd7200ddb1603560&elqaid=42366&elqat=1&elqCampaignId=41502'>website</a> is a compilation of several dashboards showing COVID-19-related data. Example available dashboards include a Social Distancing Scorecard, which grades each state's and county's social distancing efforts by comparing mobility before and after COVID-19, and a U.S. map of coronavirus cases.",Case counts and testing rates,30-Mar,,,,,,,,,,,,1,,,,,,1
The COVID Tracking Project,COVID Tracking Project,"The <a href='https://covidtracking.com/data/'>COVID Tracking Project</a> has state-level case information for states across the U.S. It includes links to data sources for each state as well as historical trends. It aims to provide the most comprehensive data on state-level testing for the novel coronavirus, filling gaps in CDC-reported testing data. It explains that testing is a crucial part of any public health response and sharing testing data is a necessary part of understanding this outbreak. This <a href='https://docs.google.com/document/d/1OyN6_1UeDePwPwKi6UKZB8GwNC7-kSf1-BO2af8kqVA/edit'>Google Document</a> contains recommendations on what type of data states should report for maximum civic understanding. This <a href='https://docs.google.com/spreadsheets/u/2/d/e/2PACX-1vRwAqp96T9sYYq2-i7Tj0pvTf6XVHjDSMIKBdZHXiCGGdNC0ypEU9NbngS8mxea55JuCFuua1MUeOj5/pubhtml'>link</a> contains case numbers from the COVID Tracking Project by state in Excel spreadsheet form. This <a href='https://covidtracking.com/us-daily/'>webpage</a> has national case numbers from the COVID Tracking Project in the U.S. by date.",Case counts and testing rates,30-Mar,,,,,,,,,1,,,,,,,,,1
Public Coronavirus Twitter Dataset,,This <a href='https://arxiv.org/abs/2003.07372'>web page</a> contains an article describing a multilingual Twitter data set about COVID-19. The goal of the authors is that this data set could help track scientific coronavirus misinformation and unverified rumors or enable the understanding of fear and panic and more. They hope that this data set may contribute to enabling informed solutions and prescribing targeted policy interventions to fight this global crisis. A <a href='https://github.com/echen102/COVID-19-TweetIDs'>GitHub repo</a> has details on how to use the API to analyze and access the Twitter data.,Policy and Legislative Actions to Curb Transmission ,30-Mar,,,,,,,,,,,,,1,,,,,1
WHO,,"The <a href='https://www.who.int/emergencies/diseases/novel-coronavirus-2019'>WHO website</a> contains information for individuals, states, and agencies about how to handle the recent spread of the coronavirus, including news on recent developments as well as guidelines and trainings to prevent virus transmission. This <a href='https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance'>link</a> contains technical guidance for countries, laboratories, and public health agencies regarding the handling of COVID-19 (topics include emergency preparedness and response, guidance on clinical care, risk communication and community engagement, and more).",Guidance Documents and Other Resources,30-Mar,,,,,,,,,,,,,,,,,,1
NextStrain,,<a href='https://nextstrain.org/ncov'>This</a> is an open-source analysis and visualization of pathogen sequence data for COVID-19.,Guidance Documents and Other Resources,30-Mar,,,,,,,,,,,,,,,,,,1
State of Massachusetts,,"<a href='https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring'>This website</a> contains information on coronavirus case counts (<a href='https://www.mass.gov/doc/covid-19-cases-in-massachusetts-as-of-march-26-2020/download'>example</a> as of 3/26) in Massachusetts by county, <a href='https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring#massachusetts-residents-subject-to-covid-19-quarantine-'>the number of residents under quarantine</a>, and <a href='https://www.mass.gov/doc/covid-19-pui-criteria/download'>guidelines for lab testing</a> of patients with suspected COVID-19 (with <a href='https://www.mass.gov/doc/covid-19-guidance-massachusetts-state-public-health-laboratory-faq/download'>FAQs</a>).",Guidance Documents and Other Resources,30-Mar,,,,,,,,,1,,,,,,,,,1
RHINO,,"<a href='https://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/HealthcareProfessionsandFacilities/PublicHealthMeaningfulUse/RHINO'>This page</a> contains information about Washington's syndromic surveillance system, which is a real-time, population-based monitoring system. It is used to identify, investigate, and design data-driven, rapid responses to emerging public health threats. These data can provide insights into chronic disease burden, environmental threats, and injury trends. Because the data are so versatile, syndromic surveillance is rapidly growing into a basic tool for public health practitioners and their partners. This <a href='https://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/HealthcareProfessionsandFacilities/PublicHealthMeaningfulUse/RHINO/DataUsers'>link</a> directs to the RHINO data set.",Identifying at-risk populations,30-Mar,,,,,,,,,1,,,,,,,,,1
Medicaid Disaster Response Toolkit,,"<a href='https://www.medicaid.gov/state-resource-center/disaster-response-toolkit/index.html'>This website</a> contains information for beneficiaries and states that outlines Medicaid policies in the event of a crisis. Information includes <a href='https://www.medicaid.gov/medicaid-and-you/index.html'>Q&As</a> between beneficiaries and Medicaid (such as what to do to enlist additional family members in Medicaid or how to replace a lost Medicaid card); a <a href='https://www.medicaid.gov/state-resource-center/downloads/mac-learning-collaboratives/medicaid-chip-disastertoolkit.pdf'>disaster preparedness toolkit</a>; a <a href='https://www.medicaid.gov/state-resource-center/downloads/mac-learning-collaboratives/medicaid-chip-inventory.pdf'>memorandum</a> that provides a high-level summary of the types of Medicaid and CHIP strategies that can be deployed in an emergency situation, as well as an inventory of the various strategies available to states and the action needed to effectuate them; and <a href='https://www.medicaid.gov/state-resource-center/downloads/covid-19-faqs.pdf'>FAQs</a> for Medicaid and CHIP agencies (on topics such as resources available, emergency preparedness and response, benefit flexibilities, financing flexibilities, and more).",Guidance Documents and Other Resources,30-Mar,,,,,,,,,,,,,,,,,,1
The College for Behavioral Health Leadership,,"<a href='https://www.leaders4health.org/resources'>This page</a> contains links to many resources related to COVID-19, behavioral health, public health, and health administration, in addition to information on upcoming webinars on all of these topics.",,30-Mar,,,,,,,,,,,,,,,,,,1
Center for Connected Health Policy,,<a href='https://www.cchpca.org/sites/default/files/2020-03/CORONAVIRUS%20TELEHEALTH%20POLICY%20FACT%20SHEET%20MAR%2016%202020%203%20PM%20FINAL.pdf?_cldee=ZXJpY2hAbWF0aGVtYXRpY2EtbXByLmNvbQ%3d%3d&recipientid=contact-f8210bf1581ce51180f7c4346bac4b78-a45a467e76b946de92583d180a74f59d&utm_source=ClickDimensions&utm_medium=email&utm_campaign=Newsletter_2020_Q1&esid=b9da63b8-7868-ea11-a811-000d3a1b1d16'>This page</a> is a summary of how telehealth policies are changing and what is covered by various public and private payers with the information that has been released. It is a living document that could change frequently as new information and new policies become available or are enacted. It includes information at the federal level and some state-level guidance.,Guidance Documents and Other Resources,30-Mar,,,,,,,,,,,,,,,,,,1
Kaiser Family Foundation,State Data & Policy Actions to Address Coronavirus,"<a href='https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/'>This web page</a> summarizes various state-level information related to COVID-19 including the <a href='https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/#casesdeaths'>number of cases</a>, <a href='https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/#policyactions'>policy responses</a>, at-risk populations based on <a href='https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/#stateleveldata'>health status</a>, health insurance coverage, <a href='https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/#stateleveldata'>treatment capacity</a>, and <a href='https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/#stateleveldata'>test positivity rates</a>. Data sets on the web page are downloadable as .csv files. ",Guidance Documents and Other Resources,30-Mar,,,,,,,,,1,,,,,1,,,,1
News Break,,"<a href='https://topic.newsbreak.com/covid-19.html'>This dashboard</a> summarizes the number of cases and deaths from COVID-19 in the U.S. and globally. U.S. data are disaggregated to the county and state level, and data for the rest of the world are presented at the country level. The dashboard also provides links to COVID-19-related news, which can be filtered based on geographic region.",Case counts and testing rates,30-Mar,1,1,,,,,,,1,,,,,,,,,1
